entidad,caso,importe_asignado,direccion,resultado,fecha_llamado,cobrado
PPAY,22172452,111022.58,saliente,call_corto,2026-01-02,0.00
PPAY,22172456,300541.82,saliente,call_contestador,2026-01-02,0.00
PPAY,22172491,152536.12,saliente,call_corto,2026-01-02,0.00
PPAY,22172610,357282.14,saliente,call_contestador,2026-01-02,0.00
PPAY,22172643,580444.72,saliente,call_contestador,2026-01-02,0.00
PPAY,22172743,309000.46,saliente,call_contestador,2026-01-02,0.00
PPAY,22172829,19210.42,saliente,call_contestador,2026-01-02,0.00
PPAY,22172847,254184.09,saliente,call_corto,2026-01-02,0.00
PPAY,22172882,129065.16,saliente,call_contestador,2026-01-02,0.00
PPAY,22173030,523064.86,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22173040,22270.66,saliente,call_pago_a_confirmar,2026-01-02,0.00
PPAY,22173085,166859.31,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22173190,75161.46,saliente,call_contestador,2026-01-02,0.00
PPAY,22173420,98791.91,saliente,call_pago_a_confirmar,2026-01-02,0.00
PPAY,22173670,219453.83,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22173830,161128.18,saliente,call_contestador,2026-01-02,0.00
PPAY,22173939,63073.43,saliente,call_contestador,2026-01-02,0.00
PPAY,22174050,193330.29,saliente,call_contestador,2026-01-02,0.00
PPAY,22174136,55973.23,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22174188,44021.41,saliente,call_pago_a_confirmar,2026-01-02,0.00
PPAY,22174308,46469.26,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22174343,293768.98,saliente,call_contestador,2026-01-02,0.00
PPAY,22174595,161305.69,saliente,call_contestador,2026-01-02,0.00
PPAY,22174616,3780.34,saliente,NULL,2026-01-02,0.00
PPAY,22174843,247414.15,saliente,call_corto,2026-01-02,0.00
PPAY,22174920,71060.36,saliente,call_pago_a_confirmar,2026-01-02,0.00
PPAY,22175106,163570.62,saliente,NULL,2026-01-02,0.00
PPAY,22175153,91153.04,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22175193,86915.63,saliente,call_contestador,2026-01-02,0.00
PPAY,22175251,145426.69,saliente,call_no_atiende,2026-01-02,0.00
PPAY,22175371,418260.48,saliente,call_contestador,2026-01-02,0.00
